Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA000382 373 520 302 1058 474 833
BGIOSGA000383 385 1216 837 393 1358 564
BGIOSGA000384 0 4 0 0 20 0
BGIOSGA000385 0 0 0 0 0 0
BGIOSGA000386 8 6 6 5 15 10
BGIOSGA000387 0 0 0 0 0 0
BGIOSGA000388 0 0 0 0 0 0
BGIOSGA000389 199 597 285 132 623 258
BGIOSGA000390 211 529 154 261 467 319
BGIOSGA000391 113 44 137 118 57 55
BGIOSGA000392 0 0 1 2 0 0
BGIOSGA000393 259 1090 95 548 620 344
BGIOSGA000394 52 196 12 60 144 73
BGIOSGA000395 101 45 26 73 9 41
BGIOSGA000396 46 11 12 60 0 15
BGIOSGA000397 16 38 14 45 18 76
BGIOSGA000398 57 43 95 36 29 41
BGIOSGA000399 989 1691 834 475 1765 576
BGIOSGA000400 66 89 19 59 155 91
BGIOSGA000401 2 0 4 10 0 6
BGIOSGA000402 298 162 350 279 182 203
BGIOSGA000403 48 39 1 153 47 80
BGIOSGA000404 41 21 47 55 39 28
BGIOSGA000405 45 122 160 94 178 82
BGIOSGA000406 508 2275 1745 851 2638 1146
BGIOSGA000407 162 155 342 275 230 179
BGIOSGA000408 0 0 0 0 0 0
BGIOSGA000409 0 0 0 0 0 0
BGIOSGA000410 45 37 18 66 99 64
BGIOSGA000411 0 0 0 0 0 0
BGIOSGA000412 629 575 581 802 459 666
BGIOSGA000413 684 1035 1027 1055 1226 869
BGIOSGA000414 0 0 0 0 0 0
BGIOSGA000415 0 0 0 0 0 0
BGIOSGA000416 77 21 48 105 37 81
BGIOSGA000417 0 0 0 0 0 0
BGIOSGA000418 0 0 2 0 0 0
BGIOSGA000419 0 0 0 0 0 0
BGIOSGA000420 248 347 315 254 535 223
BGIOSGA000421 125 46 44 91 13 23
BGIOSGA000422 0 0 0 0 0 0
BGIOSGA000423 336 159 492 202 4 125
BGIOSGA000424 4 1 0 6 1 0
BGIOSGA000425 304 294 524 501 359 416
BGIOSGA000426 558 138 528 288 8 79
BGIOSGA000427 410 484 699 409 371 752
BGIOSGA000428 12 794 37 8 530 52
BGIOSGA000429 706 1071 1439 653 1089 874
BGIOSGA000430 75 65 303 653 108 436
BGIOSGA000431 338 158 180 183 166 118
BGIOSGA000432 266 238 71 249 168 303
BGIOSGA000433 0 2 0 0 0 1
BGIOSGA000434 6 0 0 10 0 2
BGIOSGA000435 19 166 0 28 104 18
BGIOSGA000436 1 10 0 7 10 2
BGIOSGA000437 7 68 0 24 34 10
BGIOSGA000438 743 1923 1375 811 980 1050
BGIOSGA000439 2313 921 2168 2036 309 734
BGIOSGA000440 50 805 63 16 1773 372
BGIOSGA000441 0 0 0 0 0 0
BGIOSGA000442 11 0 34 21 0 74
BGIOSGA000443 72 106 113 76 130 72
BGIOSGA000444 345 809 549 1032 722 919
BGIOSGA000445 685 395 654 688 300 484
BGIOSGA000446 281 313 274 376 193 304
BGIOSGA000447 111 33 14 133 3 14
BGIOSGA000448 78 29 4 42 34 31
BGIOSGA000449 20 11 0 69 0 3
BGIOSGA000450 148 240 234 213 332 131
BGIOSGA000451 575 1490 455 989 1392 930
BGIOSGA000452 0 40 4 0 45 9
BGIOSGA000453 189 159 384 213 148 182
